maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long,had_wildfire
85.93548387,47.64516129,74.22580645,0,46.74193548,5.516129032,0,13.99032258,41.59,-122.53,0
74.64516129,53.64516129,69.41935484,0,66.22580645,5.64516129,0,12.90322581,37.01,-122.01,1
100.483871,62.64516129,90,0,34.29032258,5.032258065,0,13.55806452,39.6,-122.4,0
92.83870968,60.61290323,83.67741935,0,37.4516129,4.677419355,0,13.18064516,35.39,-120.45,1
85.19354839,48,74.90322581,0,34.12903226,6.387096774,0,11.6,39.58,-120.52,0
96.96774194,64.67741935,85.61290323,0,38.4516129,4.548387097,0,11.6,38.45,-121.34,0
89.74193548,60.74193548,80.38709677,0,41.83870968,6.548387097,0.003225806,11.6,34.54,-120.04,1
96.06451613,52.35483871,85.29032258,0,32.93548387,5.032258065,0,11.6,38.18,-120.56,0
77.87096774,61.06451613,72.48387097,0,42.5483871,5,0.006451613,11.6,34.36,-119.13,0
88.58064516,61.22580645,80.06451613,0,52.12903226,4.419354839,0,11.6,34.2,-118.26,1
77.90322581,58.58064516,71.87096774,0,58.51612903,9.580645161,0,11.56129032,38.53,-122.93,0
105.2903226,66.09677419,92.77419355,0,24.96774194,4.387096774,0,11.6,36.07,-119.82,0
89.38709677,60.67741935,80.03225806,0,52.67741935,4.322580645,0.022580645,11.6,33.02,-116.78,1
87.19354839,58.06451613,77.38709677,0,34.22580645,6.225806452,0,11.55806452,39.06,-120.72,0
69.38709677,59.12903226,66.12903226,0,71,9.935483871,0,11.6,37.73,-123.03,0
69.38709677,59.12903226,66.12903226,0,71,9.935483871,0,11.6,38.05,-122.75,0
77.70967742,55.06451613,70.96774194,0,30.12903226,5.741935484,0.006451613,11.6,37.57,-119.91,0
83.64516129,50.67741935,74.51612903,0,32.4516129,6.322580645,0,11.68387097,40.72,-120.63,0
89.74193548,55.74193548,78.93548387,0,49.03225806,6.451612903,0,11.6,38.51,-122.33,1
92.4516129,55.29032258,81.67741935,0,36.58064516,6.935483871,0,11.6,40.76,-122.04,0
93.87096774,56.83870968,81.90322581,0,38.90322581,4.870967742,0,11.6,36.24,-121.32,0
81.83870968,52.58064516,73.29032258,0,49.16129032,6.225806452,0.009677419,11.51935484,40.65,-123.11,1
83.41935484,57.87096774,74.96774194,0,51.38709677,7.870967742,0.003225806,11.56129032,39.43,-123.44,0
101.1290323,71.90322581,92.80645161,0,14.74193548,6.322580645,0,12.04193548,36.56,-117.4,1
79.5483871,44.09677419,69.83870968,0,28.74193548,4.64516129,0.003225806,11.69677419,37.92,-118.88,0
81.25806452,51.06451613,72.58064516,0,32.5483871,6.580645161,0,11.56129032,38.02,-119.96,0
93.48387097,58.12903226,81.74193548,0,46.4516129,6.483870968,0,11.6,38.27,-121.94,0
101,69.03225806,91.83870968,0,21.90322581,8.35483871,0,12.08709677,34.86,-116.18,0
90,57.74193548,79.09677419,0,50.5483871,6.548387097,0,11.6,37.92,-121.95,0
78.74193548,47.29032258,69.96774194,0,35.83870968,5.709677419,0,11.56129032,38.62,-119.8,0
85.67741935,54.16129032,75.96774194,0,36.03225806,5.806451613,0,11.55806452,38.79,-120.53,0
95.77419355,59.58064516,83.83870968,0,41.80645161,5.64516129,0,11.6,38.68,-121.9,0
95.67741935,62.90322581,84.83870968,0,31.25806452,6.096774194,0,11.6,39.27,-121.34,1
91.06451613,51.48387097,80.41935484,0,44.83870968,4.774193548,0,11.6,36.61,-121.09,1
71.09677419,55.29032258,65.48387097,0,73.32258065,10.5483871,0.009677419,11.3,40.71,-123.93,1
105.6451613,64,94.67741935,0,25.96774194,6.967741935,0.003225806,12.01935484,33.73,-116,1
99.64516129,55.19354839,85.38709677,0,25.35483871,5.129032258,0,11.6,35.35,-118.73,0
97.41935484,62.83870968,86.25806452,0,36.35483871,4.774193548,0,11.6,39.18,-122.24,0
70.64516129,55.4516129,66.4516129,0,74.5483871,10.06451613,0.048387097,11.25806452,41.75,-123.98,0
83.4516129,53.03225806,74.35483871,0,31.61290323,6.580645161,0,11.87096774,41.59,-120.72,1
102.8709677,65.83870968,91.67741935,0,23.58064516,4.451612903,0,11.6,36.76,-119.66,1
92.19354839,54.96774194,81.19354839,0,26.93548387,5.516129032,0,11.6,37.21,-119.75,0
87.96774194,52.64516129,76.77419355,0,51.29032258,5.032258065,0.003225806,11.6,37.22,-121.69,0
96.5483871,61.09677419,85.22580645,0,30.41935484,5.870967742,0,11.6,40.13,-122.23,0
96.80645161,59.29032258,84.58064516,0,39.70967742,5.838709677,0,11.6,37.93,-121.27,0
88.74193548,55.12903226,77.96774194,0,53.87096774,5.548387097,0,11.6,37.65,-121.91,0
83.96774194,54.29032258,74.32258065,0,35.51612903,6.548387097,0,11.55806452,39.3,-120.77,0
91.58064516,63.25806452,82.32258065,0,30.74193548,6.903225806,0,11.6,39.67,-121.6,1
101.8709677,66.4516129,90.29032258,0,28.35483871,6.741935484,0,11.6,37.19,-120.72,0
92.16129032,65.67741935,84,0,26,5.387096774,0,11.6,36.23,-118.78,1
98.74193548,60.4516129,86.83870968,0,34.29032258,6.322580645,0,11.6,37.56,-121,0
84.70967742,66.51612903,79.5483871,0,59.29032258,4.64516129,0.003225806,11.6,33.68,-117.78,0
107.2258065,82.12903226,99.32258065,0,25.77419355,5.64516129,0.003225806,12.15483871,33.04,-115.36,0
98.41935484,64.35483871,86.80645161,0,33.51612903,5.096774194,0,11.6,39.04,-121.7,0
91.83870968,60.48387097,82.12903226,0,35.19354839,4.580645161,0,11.6,38.44,-120.65,0
90.22580645,61.22580645,80.61290323,0,43.41935484,6,0,11.51935484,39.09,-122.75,1
78.77419355,52.51612903,70.29032258,0,36.90322581,6.419354839,0,11.6,39.99,-120.82,1
73.19354839,56.5483871,68,0,70.96774194,6.35483871,0.003225806,11.6,37.41,-122.37,0
83.32258065,45.87096774,71.41935484,0,50.61290323,6,0.006451613,11.48387097,41.59,-122.53,1
75.51612903,54.48387097,70,0,67.67741935,5.483870968,0.003225806,11.6,37.01,-122.01,0
99.09677419,61.61290323,87.4516129,0,34.5483871,5.64516129,0,11.47741935,39.6,-122.4,0
92.80645161,60.70967742,83.03225806,0,37.83870968,4.387096774,0,11.6,35.39,-120.45,1
